City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
46,Catuday,PH,83.26,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
47,Hilo,US,80.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
48,Tendo,JP,63.7,few clouds,38.3536,140.3697,Hohoemino Kūyufu Tsuruya
49,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
50,East London,ZA,58.14,few clouds,-33.0153,27.9116,Tu Casa
52,Rio Grande,BR,66.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
53,Quelimane,MZ,68.81,clear sky,-17.8786,36.8883,Hotel Flamingo
57,Abu Samrah,SY,61.74,overcast clouds,35.3029,37.1841,
58,Port Alfred,ZA,62.98,scattered clouds,-33.5906,26.891,The Halyards Hotel
60,North Bend,US,52.95,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
62,Tambopata,PE,72.97,broken clouds,-12.7333,-69.1833,
63,Bredasdorp,ZA,58.32,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
